note_id,char,pinyin,english,rank,hsk,is_surname,tier,recommendation,tags
1768474725215,室,shì,Room,708,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725216,屋,wū,House / Room,863,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725217,似,sì,Similar,431,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725218,仍,réng,Still / Yet,601,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725219,促,cù,Promote / Urge,1102,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725220,伙,huǒ,Partner / Guy,1047,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725221,伴,bàn,Partner,1298,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725222,估,gū,Estimate,1326,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725223,倍,bèi,Times / Fold,1392,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725224,俩,liǎ,Two (people),1574,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725225,伪,wěi,Fake / False,1556,6,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725226,尹,yǐn,Overseer,2885,N/A,No,Tier 3: Lower-Freq (Rank 2501-3500),2 Cards or 1 Card,MBP-Intermediate
1768474725227,伊,yī,Iran / She,761,N/A,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725228,康,kāng,Healthy,900,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725229,争,zhēng,Compete,344,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725230,静,jìng,Quiet,722,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725231,净,jìng,Clean,1377,3,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725232,减,jiǎn,Subtract / Reduce,857,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725233,律,lǜ,Law,526,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725234,建,jiàn,Build,244,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725235,健,jiàn,Healthy,979,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725236,君,jūn,Gentelman / Monarch,985,6,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725237,群,qún,Crowd / Group,570,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725238,向,xiàng,Towards,146,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725239,响,xiǎng,Sound / Ring,503,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725240,尚,shàng,Esteem / Still,878,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725241,躺,tǎng,Lie down,1608,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725242,趟,tàng,Time / Trip,2457,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725243,品,pǐn,Product / Taste,308,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725244,噪,zào,Noise,2799,6,No,Tier 3: Lower-Freq (Rank 2501-3500),2 Cards or 1 Card,MBP-Intermediate
1768474725245,操,cāo,Exercise / Operate,1173,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725246,澡,zǎo,Bath,2695,3,No,Tier 3: Lower-Freq (Rank 2501-3500),2 Cards or 1 Card,MBP-Intermediate
1768474725247,器,qì,Device / Tool,441,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725248,突,tū,Sudden / Dash,484,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725249,曾,céng,Once / Already,463,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725250,增,zēng,Increase,446,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725251,号,hào,Number / Day,487,1,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725252,亏,kuī,Deficit / Loss,1738,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725253,污,wū,Dirt / Pollute,1405,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725254,考,kǎo,Exam / Test,495,2,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725255,巧,qiǎo,Clever,1219,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725256,由,yóu,From / Reason,136,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725257,油,yóu,Oil,948,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725258,聘,pìn,Hire,2253,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725259,抽,chōu,Draw out / Smoke,1178,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725260,黄,huáng,Yellow,561,3,Yes,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725261,害,hài,Harm / Fear,579,3,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725262,拜,bài,GoodBye / Worship / Visit,1218,4,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725263,峰,fēng,Peak,1473,6,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725264,否,fǒu,No / Negate,620,4,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725265,舍,shè,Hut / Shed,1344,5,No,Tier 2: Intermediate (Rank 1001-2500),2 Cards (Recognition + Recall),MBP-Intermediate
1768474725266,哈,hā,Ha / Breath,713,5,No,Tier 1: Core (Rank 1-1000),2 Cards (Recognition + Recall),MBP-Intermediate
